song,count,before_song
"(Baby) Hully Gully",1,"Playing In The Band"
"(I Can't Get No) Satisfaction",4,"U.S. Blues"
"(I Can't Get No) Satisfaction",1,"Black Peter"
"(I Can't Get No) Satisfaction",1,"Stella Blue"
"(I Can't Get No) Satisfaction",1,"Goin' Down The Road Feeling Bad"
"(I Can't Get No) Satisfaction",0,""
"(I'm A) Road Runner",1,"Mississippi Half Step Uptown Toodeloo"
"(I'm A) Road Runner",0,""
"26 Miles Tuning",0,""
"A Voice From On High",2,"Rosalie Mcfall"
"A Voice From On High",1,"Drink Up And Go Home"
"Addams Family Tuning",1,"Ramble On Rose"
"Addams Family Tuning",1,"Peggy O"
"Alabama Getaway",3,"Jack Straw"
"Alabama Getaway",2,"Looks Like Rain"
"Alabama Getaway",1,"Monkey And The Engineer"
"Alabama Getaway",1,"Truckin'"
"Alabama Getaway",1,"Let The Good Times Roll"
"Alabama Getaway",1,"Easy Answers"
"Alabama Getaway",1,"C.C. Rider"
"Alabama Getaway",1,"Cassidy"
"Alabama Getaway",1,"Walkin' Blues"
"Alabama Getaway",1,"Around And Around"
"Alabama Getaway",1,"Far From Me"
"Alabama Getaway",0,""
"Alice D. Millionaire",1,"One Kind Favor"
"All Along The Watchtower",34,"The Wheel"
"All Along The Watchtower",26,"Space"
"All Along The Watchtower",15,"Gimme Some Lovin'"
"All Along The Watchtower",14,"Drums"
"All Along The Watchtower",7,"I Will Take You Home"
"All Along The Watchtower",6,"Goin' Down The Road Feeling Bad"
"All Along The Watchtower",3,"Iko Iko"
"All Along The Watchtower",3,"Joey"
"All Along The Watchtower",2,"Morning Dew"
"All Along The Watchtower",2,"Hey Jude"
"All Along The Watchtower",2,"Touch Of Grey"
"All Along The Watchtower",2,"Dark Star"
"All Along The Watchtower",1,"Samba In The Rain"
"All Along The Watchtower",1,"Gotta Serve Somebody"
"All Along The Watchtower",1,"Dear Mr. Fantasy"
"All Along The Watchtower",1,"China Doll"
"All Along The Watchtower",1,"So Many Roads"
"All Along The Watchtower",1,"Around And Around"
"All Along The Watchtower",1,"Wharf Rat"
"All I Have To Do Is Dream",1,"I've Just Seen A Face"
"Alligator",11,"Drums"
"Alligator",6,"Death Don't Have No Mercy"
"Alligator",4,"New Potato Caboose"
"Alligator",3,"Cold Rain And Snow"
"Alligator",3,"Cosmic Charlie"
"Alligator",3,"Morning Dew"
"Alligator",2,"Cryptical Envelopment"
"Alligator",2,"Big Boss Man"
"Alligator",2,"Dark Star"
"Alligator",2,"The Eleven"
"Alligator",2,"Turn On Your Lovelight"
"Alligator",2,"Me And My Uncle"
"Alligator",2,"Good Morning Little Schoolgirl"
"Alligator",2,"Casey Jones"
"Alligator",1,"Spanish Jam"
"Alligator",1,"And We Bid You Good Night Jam"
"Alligator",1,"High Time"
"Alligator",1,"Drummers' Chant"
"Alligator",1,"I Second That Emotion"
"Alligator",1,"Doin' That Rag"
"Alligator",1,"I Know You Rider"
"Alligator",1,"Uncle John's Band"
"Alligator",1,"Saint Stephen"
"Alligator",1,"Dire Wolf"
"Alligator",1,"Good Lovin'"
"Alligator",1,"Sittin' On Top Of The World"
"Alligator",1,"He Was A Friend Of Mine"
"Alligator",1,"Dancing In The Streets"
"Alligator",1,"Feedback"
"Alligator",1,"New Minglewood Blues"
"Alligator",1,"It's A Sin"
"Alligator",0,""
"Althea",32,"Mexicali Blues"
"Althea",25,"Big River"
"Althea",22,"Little Red Rooster"
"Althea",17,"C.C. Rider"
"Althea",16,"New Minglewood Blues"
"Althea",15,"Greatest Story Ever Told"
"Althea",11,"Cassidy"
"Althea",10,"Feel Like A Stranger"
"Althea",9,"Jack Straw"
"Althea",9,"Easy To Love You"
"Althea",8,"Looks Like Rain"
"Althea",8,"Wang Dang Doodle"
"Althea",7,"El Paso"
"Althea",6,"It's All Over Now"
"Althea",6,"Walkin' Blues"
"Althea",6,"Hell In A Bucket"
"Althea",5,"Supplication"
"Althea",5,"Passenger"
"Althea",5,"When I Paint My Masterpiece"
"Althea",5,"Beat It On Down The Line"
"Althea",4,"Queen Jane Approximately"
"Althea",4,"The Same Thing"
"Althea",3,"Picasso Moon"
"Althea",3,"My Brother Esau"
"Althea",3,"Far From Me"
"Althea",2,"Let It Grow"
"Althea",2,"Cumberland Blues"
"Althea",2,"Man Smart (Woman Smarter)"
"Althea",2,"Samson And Delilah"
"Althea",2,"Maggie's Farm"
"Althea",1,"On The Road Again"
"Althea",1,"Just Like Tom Thumb's Blues"
"Althea",1,"Box Of Rain"
"Althea",1,"Black Throated Wind"
"Althea",1,"I Ain't Superstitous"
"Althea",1,"Lost Sailor"
"Althea",1,"Saint Of Circumstance"
"Althea",1,"The Race Is On"
"Althea",1,"Broken Arrow"
"Althea",1,"The Promised Land"
"Althea",1,"Hey Pocky Way"
"Althea",1,"Never Trust A Woman"
"Althea",1,"Big Railroad Blues"
"Althea",0,""
"And We Bid You Good Night",24,"Feedback"
"And We Bid You Good Night",5,"Johnny B. Goode"
"And We Bid You Good Night",3,"Turn On Your Lovelight"
"And We Bid You Good Night",2,"Caution (Do Not Stop On Tracks)"
"And We Bid You Good Night",1,"Not Fade Away"
"And We Bid You Good Night",1,"Brokedown Palace"
"And We Bid You Good Night",1,"It's All Over Now, Baby Blue"
"And We Bid You Good Night",1,"In The Midnight Hour"
"And We Bid You Good Night",1,"Uncle John's Band"
"And We Bid You Good Night",1,"The Last Time"
"And We Bid You Good Night",1,"Mississippi Half Step Uptown Toodeloo"
"And We Bid You Good Night",1,"Black Muddy River"
"And We Bid You Good Night",0,""
"And We Bid You Good Night Jam",5,"Jam"
"And We Bid You Good Night Jam",1,"Caution (Do Not Stop On Tracks)"
"And We Bid You Good Night Jam",1,"Caution (Do Not Stop On Tracks) Jam"
"Are You Lonely For Me Baby?",1,"How Sweet It Is (To Be Loved By You)"
"Around And Around",90,"Black Peter"
"Around And Around",79,"Wharf Rat"
"Around And Around",55,"Stella Blue"
"Around And Around",19,"Goin' Down The Road Feeling Bad"
"Around And Around",16,"I Know You Rider"
"Around And Around",15,"Morning Dew"
"Around And Around",11,"Playing In The Band (reprise)"
"Around And Around",10,"China Doll"
"Around And Around",8,"Not Fade Away"
"Around And Around",7,"Comes A Time"
"Around And Around",7,"Truckin'"
"Around And Around",5,"Franklin's Tower"
"Around And Around",5,"Dancing In The Streets"
"Around And Around",5,"The Wheel"
"Around And Around",5,"Days Between"
"Around And Around",4,"Standing On The Moon"
"Around And Around",3,"Saint Stephen"
"Around And Around",3,"Terrapin Station"
"Around And Around",3,"Uncle John's Band"
"Around And Around",3,"Sugaree"
"Around And Around",3,"Brown Eyed Women"
"Around And Around",2,"Mississippi Half Step Uptown Toodeloo"
"Around And Around",2,"Bertha"
"Around And Around",2,"Attics Of My Life"
"Around And Around",2,"Big Railroad Blues"
"Around And Around",2,"Don't Ease Me In"
"Around And Around",2,"Iko Iko"
"Around And Around",2,"Brokedown Palace"
"Around And Around",2,"Scarlet Begonias"
"Around And Around",2,"Dear Mr. Fantasy"
"Around And Around",1,"Here Comes Sunshine"
"Around And Around",1,"Lucy In The Sky With Diamonds"
"Around And Around",1,"Tomorrow Is Forever"
"Around And Around",1,"Let Me Sing Your Blues Away"
"Around And Around",1,"Jam"
"Around And Around",1,"El Paso"
"Around And Around",1,"Tennessee Jed"
"Around And Around",1,"The Other One"
"Around And Around",1,"Next Time You See Me"
"Around And Around",1,"Death Don't Have No Mercy"
"Around And Around",1,"Eyes Of The World"
"Around And Around",1,"If I Had The World To Give"
"Around And Around",1,"Uncle Sam Blues"
"Around And Around",1,"Let It Grow"
"Around And Around",1,"Spoonful"
"Around And Around",1,"Hey Jude"
"Around And Around",1,"Row Jimmy"
"Around And Around",1,"Dire Wolf"
"Around And Around",1,"Cumberland Blues"
"Around And Around",1,"Deal"
"Around And Around",1,"My Babe"
"Around And Around",1,"Cold Rain And Snow"
"Around And Around",1,"Me And Bobby Mcgee"
"Around And Around",1,"He's Gone"
"Around And Around",1,"It Must Have Been The Roses"
"Around And Around",1,"Playing In The Band"
"Around And Around",1,"Cosmic Charlie"
"Around And Around",0,""
"Attics Of My Life",5,"The Last Time"
"Attics Of My Life",3,"All Along The Watchtower"
"Attics Of My Life",3,"Dark Star"
"Attics Of My Life",3,"The Other One"
"Attics Of My Life",3,"Cold Rain And Snow"
"Attics Of My Life",2,"Sugar Magnolia"
"Attics Of My Life",2,"Space"
"Attics Of My Life",2,"Cryptical Envelopment"
"Attics Of My Life",2,"The Wheel"
"Attics Of My Life",2,"I Need A Miracle"
"Attics Of My Life",1,"Cumberland Blues"
"Attics Of My Life",1,"Let Me In"
"Attics Of My Life",1,"Easy Answers"
"Attics Of My Life",1,"In The Midnight Hour"
"Attics Of My Life",1,"Throwing Stones"
"Attics Of My Life",1,"Easy Wind"
"Attics Of My Life",1,"Corrina"
"Attics Of My Life",1,"Good Lovin'"
"Attics Of My Life",1,"I Want To Tell You"
"Attics Of My Life",1,"Goin' Down The Road Feeling Bad"
"Attics Of My Life",1,"Way To Go Home"
"Attics Of My Life",1,"I Know You Rider"
"Attics Of My Life",1,"Drums"
"Attics Of My Life",1,"Don't Ease Me In"
"Attics Of My Life",0,""
"Baba O'riley",1,"Uncle John's Band"
"Baba O'riley",0,""
"Baby What You Want Me To Do",1,"Tell Mama"
"Baby What You Want Me To Do",1,"Brown Eyed Women"
"Baby What You Want Me To Do",1,"Johnny B. Goode"
"Baby What You Want Me To Do",1,"Goin' Down The Road Feeling Bad"
"Baby What You Want Me To Do",1,"China Doll"
"Bad Moon Rising",1,"Green River"
"Ballad Of A Thin Man",2,"Stuck Inside A Mobile With The Memphis Blues Again"
"Ballad Of A Thin Man",1,"Stagger Lee"
"Ballad Of A Thin Man",1,"Simple Twist Of Fate"
"Ballad Of A Thin Man",1,"I Want You"
"Ballad Of A Thin Man",1,"Queen Jane Approximately"
"Ballad Of A Thin Man",1,"To Lay Me Down"
"Ballad Of A Thin Man",1,"It's All Over Now, Baby Blue"
"Banana Boat Song (Day O)",2,"Iko Iko"
"Banks Of The Ohio",1,"Children Of The Eighties"
"Barbara Allen",1,"Lady Di And I"
"Barbara Allen",1,"Bye Bye Love"
"Beat It On Down The Line",24,"Brown Eyed Women"
"Beat It On Down The Line",22,"Loser"
"Beat It On Down The Line",15,"Sugaree"
"Beat It On Down The Line",14,"Cold Rain And Snow"
"Beat It On Down The Line",12,"Deal"
"Beat It On Down The Line",10,"I Know You Rider"
"Beat It On Down The Line",10,"Dire Wolf"
"Beat It On Down The Line",10,"Peggy O"
"Beat It On Down The Line",10,"Bird Song"
"Beat It On Down The Line",9,"Ramble On Rose"
"Beat It On Down The Line",9,"Row Jimmy"
"Beat It On Down The Line",8,"Mr. Charlie"
"Beat It On Down The Line",8,"Bertha"
"Beat It On Down The Line",7,"They Love Each Other"
"Beat It On Down The Line",6,"Morning Dew"
"Beat It On Down The Line",6,"West L.A. Fadeaway"
"Beat It On Down The Line",6,"Tennessee Jed"
"Beat It On Down The Line",5,"It Hurts Me Too"
"Beat It On Down The Line",5,"Cumberland Blues"
"Beat It On Down The Line",5,"Althea"
"Beat It On Down The Line",5,"Candyman"
"Beat It On Down The Line",5,"Don't Ease Me In"
"Beat It On Down The Line",5,"Jack A Roe"
"Beat It On Down The Line",4,"When Push Comes To Shove"
"Beat It On Down The Line",4,"Loose Lucy"
"Beat It On Down The Line",4,"It Must Have Been The Roses"
"Beat It On Down The Line",4,"Friend Of The Devil"
"Beat It On Down The Line",4,"Black Peter"
"Beat It On Down The Line",3,"Stagger Lee"
"Beat It On Down The Line",3,"Hard To Handle"
"Beat It On Down The Line",3,"High Time"
"Beat It On Down The Line",3,"I'm A King Bee"
"Beat It On Down The Line",3,"Here Comes Sunshine"
"Beat It On Down The Line",3,"Dupree's Diamond Blues"
"Beat It On Down The Line",3,"Scarlet Begonias"
"Beat It On Down The Line",2,"On The Road Again"
"Beat It On Down The Line",2,"U.S. Blues"
"Beat It On Down The Line",2,"Brokedown Palace"
"Beat It On Down The Line",2,"Box Of Rain"
"Beat It On Down The Line",2,"Wharf Rat"
"Beat It On Down The Line",2,"Mississippi Half Step Uptown Toodeloo"
"Beat It On Down The Line",2,"Sittin' On Top Of The World"
"Beat It On Down The Line",2,"Smokestack Lightnin'"
"Beat It On Down The Line",2,"Big Boss Man"
"Beat It On Down The Line",2,"Iko Iko"
"Beat It On Down The Line",1,"Viola Lee Blues"
"Beat It On Down The Line",1,"Easy Wind"
"Beat It On Down The Line",1,"Big Railroad Blues"
"Beat It On Down The Line",1,"Me And My Uncle"
"Beat It On Down The Line",1,"Jack Straw"
"Beat It On Down The Line",1,"Turn On Your Lovelight"
"Beat It On Down The Line",1,"Just Like Tom Thumb's Blues"
"Beat It On Down The Line",1,"Greatest Story Ever Told"
"Beat It On Down The Line",1,"Franklin's Tower"
"Beat It On Down The Line",1,"It's A Sin"
"Beat It On Down The Line",1,"Shakedown Street"
"Beat It On Down The Line",1,"Hey Little One"
"Beat It On Down The Line",1,"Stella Blue"
"Beat It On Down The Line",1,"You Don't Love Me"
"Beat It On Down The Line",1,"Next Time You See Me"
"Beat It On Down The Line",1,"He's Gone"
"Beat It On Down The Line",1,"Crazy Fingers"
"Beat It On Down The Line",1,"It Takes A Lot To Laugh It Takes A Train To Cry"
"Beat It On Down The Line",1,"Cosmic Charlie"
"Beat It On Down The Line",1,"Man Smart (Woman Smarter)"
"Beat It On Down The Line",1,"Deep Elem Blues"
"Beat It On Down The Line",1,"You See A Broken Heart"
"Beat It On Down The Line",1,"Empty Pages"
"Beat It On Down The Line",1,"Standing on the Corner"
"Beat It On Down The Line",1,"Pain In My Heart"
"Beat It On Down The Line",1,"In The Midnight Hour"
"Beat It On Down The Line",1,"Casey Jones"
"Beat It On Down The Line",1,"Easy To Love You"
"Beat It On Down The Line",1,"Good Morning Little Schoolgirl"
"Beat It On Down The Line",1,"Funiculi Funicula"
"Beat It On Down The Line",1,"Touch Of Grey"
"Beat It On Down The Line",1,"Checkin' Up"
"Beat It On Down The Line",1,"Truckin'"
"Beat It On Down The Line",1,"Wave That Flag"
"Beat It On Down The Line",0,""
"Been Down So Long",1,"My Own Fault"
"Believe It Or Not",2,"Samson And Delilah"
"Believe It Or Not",2,"All Along The Watchtower"
"Believe It Or Not",1,"Walkin' Blues"
"Believe It Or Not",1,"Hey Pocky Way"
"Believe It Or Not",1,"Gimme Some Lovin'"
"Bertha",43,"I Need A Miracle"
"Bertha",15,"The Promised Land"
"Bertha",12,"Hell In A Bucket"
"Bertha",12,"Jack Straw"
"Bertha",10,"Greatest Story Ever Told"
"Bertha",7,"Feel Like A Stranger"
"Bertha",5,"Shakedown Street"
"Bertha",5,"Me And Bobby Mcgee"
"Bertha",4,"Big River"
"Bertha",4,"Me And My Uncle"
"Bertha",4,"Playing In The Band"
"Bertha",3,"I'm A King Bee"
"Bertha",3,"Let The Good Times Roll"
"Bertha",3,"Black Throated Wind"
"Bertha",3,"New Minglewood Blues"
"Bertha",3,"Next Time You See Me"
"Bertha",3,"Looks Like Rain"
"Bertha",2,"In The Midnight Hour"
"Bertha",2,"Mama Tried"
"Bertha",2,"Little Red Rooster"
"Bertha",2,"Walkin' Blues"
"Bertha",2,"It Hurts Me Too"
"Bertha",2,"Mexicali Blues"
"Bertha",2,"Dancing In The Streets"
"Bertha",2,"Samson And Delilah"
"Bertha",2,"Truckin'"
"Bertha",2,"Eternity"
"Bertha",1,"Beat It On Down The Line"
"Bertha",1,"The Music Never Stopped"
"Bertha",1,"Cassidy"
"Bertha",1,"Yellow Dog Story"
"Bertha",1,"My Brother Esau"
"Bertha",1,"Easy Answers"
"Bertha",1,"Candyman"
"Bertha",1,"Why Don't We Do It In The Road"
"Bertha",1,"The Other One"
"Bertha",1,"Estimated Prophet"
"Bertha",1,"Revolutionary Hamstrung Blues"
"Bertha",1,"Sugar Magnolia"
"Bertha",1,"Black Peter"
"Bertha",1,"Dark Star"
"Bertha",1,"Maybe You Know"
"Bertha",1,"Picasso Moon"
"Bertha",1,"Big Boss Man"
"Bertha",1,"It's All Over Now"
"Bertha",1,"Playing In The Band (reprise)"
"Bertha",1,"Victim Or The Crime"
"Bertha",1,"Supplication"
"Bertha",1,"Hard To Handle"
"Bertha",1,"Walking The Dog"
"Bertha",0,""
"Betty And Dupree",1,"New Minglewood Blues"
"Big Boss Man",4,"Big Railroad Blues"
"Big Boss Man",4,"I Know You Rider"
"Big Boss Man",4,"Mexicali Blues"
"Big Boss Man",3,"Me And My Uncle"
"Big Boss Man",3,"Beat It On Down The Line"
"Big Boss Man",3,"Loser"
"Big Boss Man",2,"Sittin' On Top Of The World"
"Big Boss Man",2,"Ramble On Rose"
"Big Boss Man",2,"Playing In The Band"
"Big Boss Man",2,"Dire Wolf"
"Big Boss Man",2,"El Paso"
"Big Boss Man",2,"Mama Tried"
"Big Boss Man",2,"Bertha"
"Big Boss Man",2,"Me And Bobby Mcgee"
"Big Boss Man",1,"Walking The Dog"
"Big Boss Man",1,"Good Lovin'"
"Big Boss Man",1,"The Other One"
"Big Boss Man",1,"Queen Jane Approximately"
"Big Boss Man",1,"The Promised Land"
"Big Boss Man",1,"Take Me To The River"
"Big Boss Man",1,"The Race Is On"
"Big Boss Man",1,"Sugar Magnolia"
"Big Boss Man",1,"Greatest Story Ever Told"
"Big Boss Man",1,"Viola Lee Blues"
"Big Boss Man",1,"New Orleans"
"Big Boss Man",1,"Doin' That Rag"
"Big Boss Man",1,"Hey Pocky Way"
"Big Boss Man",1,"Black Peter"
"Big Boss Man",1,"Cumberland Blues"
"Big Boss Man",1,"Cassidy"
"Big Boss Man",1,"Cosmic Charlie"
"Big Boss Man",1,"Tennessee Jed"
"Big Boss Man",1,"The Same Thing"
"Big Boss Man",1,"Bird Song"
"Big Boss Man",1,"Little Red Rooster"
"Big Boss Man",1,"Ol' Slewfoot"
"Big Boss Man",1,"Big River"
"Big Boss Man",1,"Man Smart (Woman Smarter)"
"Big Boss Man",1,"Cold Rain And Snow"
"Big Boss Man",1,"High Time"
"Big Boss Man",1,"You Don't Have to Ask"
"Big Boss Man",1,"Candyman"
"Big Boss Man",1,"Brown Eyed Women"
"Big Boss Man",0,""
"Big Boy Pete",2,"Cumberland Blues"
"Big Boy Pete",1,"Sittin' On Top Of The World"
"Big Boy Pete",1,"Something On Your Mind"
"Big Boy Pete",1,"Casey Jones"
"Big Boy Pete",1,"Stealin'"
"Big Boy Pete",1,"Knockin' On Heaven's Door"
"Big Boy Pete",1,"He Was A Friend Of Mine"
"Big Boy Pete",0,""
"Big Breasa",1,"Roberta"
"Big Railroad Blues",18,"Jack Straw"
"Big Railroad Blues",14,"El Paso"
"Big Railroad Blues",13,"My Brother Esau"
"Big Railroad Blues",9,"Cassidy"
"Big Railroad Blues",8,"Looks Like Rain"
"Big Railroad Blues",8,"Mexicali Blues"
"Big Railroad Blues",7,"Black Throated Wind"
"Big Railroad Blues",7,"Little Red Rooster"
"Big Railroad Blues",7,"Me And My Uncle"
"Big Railroad Blues",5,"New Minglewood Blues"
"Big Railroad Blues",5,"Playing In The Band"
"Big Railroad Blues",4,"Beat It On Down The Line"
"Big Railroad Blues",3,"Big River"
"Big Railroad Blues",3,"Desolation Row"
"Big Railroad Blues",3,"Box Of Rain"
"Big Railroad Blues",3,"Dancing In The Streets"
"Big Railroad Blues",3,"Me And Bobby Mcgee"
"Big Railroad Blues",3,"C.C. Rider"
"Big Railroad Blues",2,"I Know You Rider"
"Big Railroad Blues",2,"Smokestack Lightnin'"
"Big Railroad Blues",2,"Wang Dang Doodle"
"Big Railroad Blues",2,"Easy To Love You"
"Big Railroad Blues",2,"Samson And Delilah"
"Big Railroad Blues",2,"It's All Over Now"
"Big Railroad Blues",2,"Hard To Handle"
"Big Railroad Blues",2,"Hell In A Bucket"
"Big Railroad Blues",2,"When I Paint My Masterpiece"
"Big Railroad Blues",1,"You Win Again"
"Big Railroad Blues",1,"Just Like Tom Thumb's Blues"
"Big Railroad Blues",1,"Cumberland Blues"
"Big Railroad Blues",1,"Greatest Story Ever Told"
"Big Railroad Blues",1,"Tennessee Jed"
"Big Railroad Blues",1,"Stuck Inside A Mobile With The Memphis Blues Again"
"Big Railroad Blues",1,"Monkey And The Engineer"
"Big Railroad Blues",1,"Cryptical Envelopment"
"Big Railroad Blues",1,"Picasso Moon"
"Big Railroad Blues",1,"Candyman"
"Big Railroad Blues",1,"Chinatown Shuffle"
"Big Railroad Blues",1,"Mama Tried"
"Big Railroad Blues",1,"From The Heart Of Me"
"Big Railroad Blues",1,"Keep On Growing"
"Big Railroad Blues",1,"Wipe Out"
"Big Railroad Blues",1,"Queen Jane Approximately"
"Big Railroad Blues",1,"Saint Of Circumstance"
"Big Railroad Blues",1,"Never Trust A Woman"
"Big Railroad Blues",1,"Around And Around"
"Big Railroad Blues",1,"Truckin'"
"Big Railroad Blues",1,"Uncle John's Band"
"Big Railroad Blues",1,"Tons Of Steel"
"Big Railroad Blues",1,"Big Boss Man"
"Big Railroad Blues",1,"Far From Me"
"Big Railroad Blues",1,"Friend Of The Devil"
"Big Railroad Blues",1,"Gentlemen Start Your Engines"
"Big Railroad Blues",0,""
"Big River",175,"Me And My Uncle"
"Big River",36,"Mama Tried"
"Big River",14,"Mexicali Blues"
"Big River",14,"Row Jimmy"
"Big River",12,"Mississippi Half Step Uptown Toodeloo"
"Big River",10,"I Know You Rider"
"Big River",10,"Tennessee Jed"
"Big River",9,"Brown Eyed Women"
"Big River",8,"They Love Each Other"
"Big River",7,"Stella Blue"
"Big River",7,"Bird Song"
"Big River",6,"Loser"
"Big River",6,"Candyman"
"Big River",5,"Deal"
"Big River",5,"Loose Lucy"
"Big River",5,"Ramble On Rose"
"Big River",4,"Don't Ease Me In"
"Big River",4,"Scarlet Begonias"
"Big River",4,"Ship Of Fools"
"Big River",3,"Cold Rain And Snow"
"Big River",3,"Here Comes Sunshine"
"Big River",3,"Peggy O"
"Big River",3,"Black Peter"
"Big River",3,"It Must Have Been The Roses"
"Big River",3,"Friend Of The Devil"
"Big River",2,"Sugaree"
"Big River",2,"High Time"
"Big River",2,"The Other One"
"Big River",2,"China Doll"
"Big River",2,"Crazy Fingers"
"Big River",2,"Jack A Roe"
"Big River",2,"Eyes Of The World"
"Big River",2,"U.S. Blues"
"Big River",1,"Big Railroad Blues"
"Big River",1,"Wharf Rat"
"Big River",1,"Playing In The Band (reprise)"
"Big River",1,"Tomorrow Is Forever"
"Big River",1,"You Win Again"
"Big River",1,"Franklin's Tower"
"Big River",1,"Box Of Rain"
"Big River",1,"Comes A Time"
"Big River",1,"He's Gone"
"Big River",1,"To Lay Me Down"
"Big River",1,"Dire Wolf"
"Big River",1,"Bertha"
"Big River",0,""
"Bird Song",39,"When I Paint My Masterpiece"
"Bird Song",19,"Big River"
"Bird Song",18,"Mexicali Blues"
"Bird Song",16,"Little Red Rooster"
"Bird Song",15,"Queen Jane Approximately"
"Bird Song",14,"El Paso"
"Bird Song",13,"C.C. Rider"
"Bird Song",11,"Beat It On Down The Line"
"Bird Song",11,"Me And My Uncle"
"Bird Song",10,"On The Road Again"
"Bird Song",10,"It's All Over Now"
"Bird Song",10,"New Minglewood Blues"
"Bird Song",10,"My Brother Esau"
"Bird Song",10,"Black Throated Wind"
"Bird Song",8,"Stuck Inside A Mobile With The Memphis Blues Again"
"Bird Song",6,"Jack Straw"
"Bird Song",5,"Picasso Moon"
"Bird Song",4,"Maggie's Farm"
"Bird Song",4,"Greatest Story Ever Told"
"Bird Song",4,"Monkey And The Engineer"
"Bird Song",3,"The Race Is On"
"Bird Song",3,"If The Shoe Fits"
"Bird Song",3,"Feel Like A Stranger"
"Bird Song",3,"Cumberland Blues"
"Bird Song",3,"Heaven Help The Fool"
"Bird Song",3,"Desolation Row"
"Bird Song",2,"Cassidy"
"Bird Song",2,"Far From Me"
"Bird Song",2,"We Can Run"
"Bird Song",2,"Just Like Tom Thumb's Blues"
